"Date_Time","Time","Sensor","Count"
2016-01-07 18:00:00,18,"Melbourne Central",2136
2016-01-07 19:00:00,19,"Bourke Street Mall (North)",1104
2016-01-07 19:00:00,19,"Melbourne Central",1791
2016-01-07 20:00:00,20,"Bourke Street Mall (North)",742
2016-01-07 20:00:00,20,"Melbourne Central",1914
2016-01-07 21:00:00,21,"Bourke Street Mall (North)",479
2016-01-07 21:00:00,21,"Melbourne Central",1654
2016-01-07 22:00:00,22,"Bourke Street Mall (North)",188
2016-01-07 22:00:00,22,"Melbourne Central",1248
2016-01-07 23:00:00,23,"Bourke Street Mall (North)",98
2016-01-07 23:00:00,23,"Melbourne Central",809
2016-01-08 00:00:00,0,"Bourke Street Mall (North)",78
2016-01-08 00:00:00,0,"Melbourne Central",487
2016-01-08 01:00:00,1,"Bourke Street Mall (North)",44
2016-01-08 01:00:00,1,"Melbourne Central",193
2016-01-08 02:00:00,2,"Bourke Street Mall (North)",27
2016-01-08 02:00:00,2,"Melbourne Central",130
2016-01-08 03:00:00,3,"Bourke Street Mall (North)",13
2016-01-08 03:00:00,3,"Melbourne Central",129
2016-01-08 04:00:00,4,"Bourke Street Mall (North)",25
2016-01-08 04:00:00,4,"Melbourne Central",51
2016-01-08 05:00:00,5,"Bourke Street Mall (North)",18
2016-01-08 05:00:00,5,"Melbourne Central",56
2016-01-08 06:00:00,6,"Bourke Street Mall (North)",56
2016-01-08 06:00:00,6,"Melbourne Central",127
2016-01-08 07:00:00,7,"Bourke Street Mall (North)",156
2016-01-08 07:00:00,7,"Melbourne Central",281
2016-01-08 08:00:00,8,"Bourke Street Mall (North)",375
2016-01-08 08:00:00,8,"Melbourne Central",551
2016-01-08 09:00:00,9,"Bourke Street Mall (North)",439
2016-01-08 09:00:00,9,"Melbourne Central",639
2016-01-08 10:00:00,10,"Bourke Street Mall (North)",736
2016-01-08 10:00:00,10,"Melbourne Central",896
2016-01-08 11:00:00,11,"Bourke Street Mall (North)",1216
2016-01-08 11:00:00,11,"Melbourne Central",1314
2016-01-08 12:00:00,12,"Bourke Street Mall (North)",1934
2016-01-08 12:00:00,12,"Melbourne Central",2256
2016-01-08 13:00:00,13,"Bourke Street Mall (North)",2286
2016-01-08 13:00:00,13,"Melbourne Central",2408
2016-01-08 14:00:00,14,"Bourke Street Mall (North)",1913
2016-01-08 14:00:00,14,"Melbourne Central",2290
2016-01-08 15:00:00,15,"Bourke Street Mall (North)",1772
2016-01-08 15:00:00,15,"Melbourne Central",2219
2016-01-08 16:00:00,16,"Bourke Street Mall (North)",1911
2016-01-08 16:00:00,16,"Melbourne Central",2295
2016-01-08 17:00:00,17,"Bourke Street Mall (North)",2162
2016-01-08 17:00:00,17,"Melbourne Central",2627
2016-01-08 18:00:00,18,"Bourke Street Mall (North)",1840
2016-01-08 18:00:00,18,"Melbourne Central",2373
2016-01-08 19:00:00,19,"Bourke Street Mall (North)",1265
2016-01-08 19:00:00,19,"Melbourne Central",2111
2016-01-08 20:00:00,20,"Bourke Street Mall (North)",1063
2016-01-08 20:00:00,20,"Melbourne Central",1999
2016-01-08 21:00:00,21,"Bourke Street Mall (North)",642
2016-01-08 21:00:00,21,"Melbourne Central",2297
2016-01-08 22:00:00,22,"Bourke Street Mall (North)",297
2016-01-08 22:00:00,22,"Melbourne Central",1708
2016-01-08 23:00:00,23,"Bourke Street Mall (North)",180
2016-01-08 23:00:00,23,"Melbourne Central",1328
2016-01-09 00:00:00,0,"Bourke Street Mall (North)",94
2016-01-09 00:00:00,0,"Melbourne Central",803
2016-01-09 01:00:00,1,"Bourke Street Mall (North)",80
2016-01-09 01:00:00,1,"Melbourne Central",569
2016-01-09 02:00:00,2,"Bourke Street Mall (North)",51
2016-01-09 02:00:00,2,"Melbourne Central",325
2016-01-09 03:00:00,3,"Bourke Street Mall (North)",43
2016-01-09 03:00:00,3,"Melbourne Central",252
2016-01-09 04:00:00,4,"Bourke Street Mall (North)",14
2016-01-09 04:00:00,4,"Melbourne Central",77
2016-01-09 05:00:00,5,"Bourke Street Mall (North)",29
2016-01-09 05:00:00,5,"Melbourne Central",65
2016-01-09 06:00:00,6,"Bourke Street Mall (North)",11
2016-01-09 06:00:00,6,"Melbourne Central",74
2016-01-09 07:00:00,7,"Bourke Street Mall (North)",55
2016-01-09 07:00:00,7,"Melbourne Central",209
2016-01-09 08:00:00,8,"Bourke Street Mall (North)",188
2016-01-09 08:00:00,8,"Melbourne Central",260
2016-01-09 09:00:00,9,"Bourke Street Mall (North)",320
2016-01-09 09:00:00,9,"Melbourne Central",427
2016-01-09 10:00:00,10,"Bourke Street Mall (North)",698
2016-01-09 10:00:00,10,"Melbourne Central",748
2016-01-09 11:00:00,11,"Bourke Street Mall (North)",1141
2016-01-09 11:00:00,11,"Melbourne Central",1133
2016-01-09 12:00:00,12,"Bourke Street Mall (North)",1373
2016-01-09 12:00:00,12,"Melbourne Central",1659
2016-01-09 13:00:00,13,"Bourke Street Mall (North)",1685
2016-01-09 13:00:00,13,"Melbourne Central",2300
2016-01-09 14:00:00,14,"Bourke Street Mall (North)",1904
2016-01-09 14:00:00,14,"Melbourne Central",2216
2016-01-09 15:00:00,15,"Bourke Street Mall (North)",2035
2016-01-09 15:00:00,15,"Melbourne Central",2319
2016-01-09 16:00:00,16,"Bourke Street Mall (North)",1840
2016-01-09 16:00:00,16,"Melbourne Central",2311
